barracks_status_dire,barracks_status_radiant,dire_score,duration,first_blood_time,radiant_score,radiant_win,tower_status_dire,tower_status_radiant,dire_win
4,0,52,55.3,0.6,53,0.0,3,0,1.0
0,6,35,44.4,3.3,57,1.0,0,8,0.0
2,6,11,26.5,0.0,47,1.0,1,11,0.0
4,6,52,46.4,1.0,61,1.0,2,8,0.0
4,5,47,45.7,1.6,55,1.0,4,4,0.0
0,6,9,27.1,3.9,46,1.0,0,11,0.0
6,0,40,32.1,0.0,25,0.0,7,0,1.0
4,4,51,43.0,4.0,43,1.0,5,4,0.0
4,0,71,54.8,1.2,60,0.0,3,0,1.0
6,0,45,39.1,3.7,34,0.0,6,0,1.0
2,6,32,43.6,0.0,42,1.0,2,6,0.0
6,0,55,40.0,1.9,28,0.0,8,0,1.0
2,6,38,43.3,0.3,44,1.0,1,8,0.0
6,0,26,25.8,1.2,11,0.0,10,0,1.0
1,6,6,29.2,0.3,38,1.0,0,11,0.0
6,4,53,38.2,1.7,31,0.0,9,1,1.0
6,4,38,39.9,1.8,45,0.0,4,2,1.0
0,6,41,46.9,0.0,50,1.0,0,8,0.0
6,0,47,39.3,1.3,27,0.0,8,0,1.0
4,6,27,40.6,1.4,45,1.0,2,5,0.0
6,0,36,38.7,2.6,34,0.0,8,0,1.0
6,4,45,40.2,0.4,54,0.0,7,0,1.0
6,0,62,37.1,0.4,31,0.0,9,0,1.0
1,6,36,45.6,1.7,70,1.0,0,8,0.0
4,6,31,39.2,1.1,42,1.0,2,8,0.0
4,4,50,46.0,0.1,49,1.0,1,5,0.0
4,6,17,28.4,0.1,29,1.0,3,10,0.0
0,6,27,35.9,5.2,46,1.0,0,9,0.0
2,6,10,17.0,1.4,30,1.0,1,11,0.0
0,6,12,24.6,2.9,32,1.0,0,11,0.0
3,4,55,54.8,2.0,38,0.0,3,2,1.0
6,5,33,39.1,0.0,36,0.0,5,3,1.0
0,6,30,38.8,2.7,37,1.0,0,11,0.0
6,0,39,23.1,1.0,8,0.0,10,0,1.0
6,4,49,42.5,0.0,43,0.0,6,2,1.0
2,5,64,57.1,3.0,57,1.0,0,2,0.0
0,6,37,42.7,0.1,48,1.0,0,6,0.0
4,6,36,40.2,2.9,48,1.0,4,7,0.0
0,6,37,39.5,2.1,31,1.0,0,10,0.0
6,0,49,34.8,2.0,28,0.0,9,0,1.0
4,4,22,42.2,3.4,25,1.0,4,4,0.0
0,6,33,36.1,2.2,54,1.0,0,9,0.0
4,6,29,34.2,0.2,32,1.0,3,8,0.0
4,2,50,60.4,1.4,74,1.0,2,1,0.0
6,2,62,51.2,0.5,26,0.0,7,1,1.0
6,5,45,33.3,0.5,24,0.0,10,1,1.0
6,0,29,29.3,0.0,24,0.0,10,0,1.0
6,2,40,44.6,0.0,27,0.0,7,0,1.0
6,0,47,31.8,0.6,26,0.0,7,0,1.0
6,0,45,42.0,3.0,26,0.0,6,0,1.0
6,6,5,13.2,1.7,22,1.0,8,10,0.0
4,6,31,33.3,0.3,31,1.0,5,7,0.0
2,6,51,43.1,3.5,52,1.0,1,5,0.0
1,6,42,57.6,1.0,62,1.0,0,6,0.0
0,6,21,37.6,2.8,35,1.0,0,6,0.0
6,0,37,38.0,0.2,22,0.0,10,0,1.0
0,6,23,27.4,0.2,50,1.0,0,8,0.0
6,2,53,26.9,3.8,17,0.0,10,1,1.0
6,1,45,39.0,0.8,34,0.0,5,0,1.0
0,2,51,51.2,1.5,56,1.0,0,3,0.0
0,6,19,29.1,1.2,38,1.0,0,10,0.0
2,6,22,32.9,1.5,37,1.0,1,8,0.0
0,6,18,47.6,0.0,42,1.0,0,7,0.0
0,6,29,35.3,1.9,27,1.0,0,7,0.0
6,2,41,38.4,1.1,25,0.0,10,1,1.0
6,0,35,36.4,1.8,33,0.0,8,0,1.0
0,4,36,40.0,0.3,47,1.0,0,4,0.0
6,4,37,38.4,3.5,24,0.0,8,3,1.0
2,6,25,31.6,2.8,59,1.0,2,8,0.0
6,4,41,35.6,0.0,24,0.0,7,4,1.0
6,0,25,29.1,2.6,8,0.0,6,0,1.0
0,6,23,30.4,1.5,36,1.0,0,8,0.0
0,6,33,33.4,1.0,61,1.0,0,10,0.0
6,0,48,27.2,1.4,17,0.0,11,0,1.0
4,6,12,21.9,0.0,32,1.0,4,10,0.0
0,6,26,34.2,2.2,53,1.0,0,9,0.0
0,6,27,38.5,0.4,30,1.0,0,9,0.0
2,6,24,36.6,1.0,38,1.0,2,7,0.0
6,2,29,36.8,0.8,33,0.0,6,2,1.0
6,0,34,37.6,0.0,27,0.0,6,0,1.0
6,2,43,36.8,0.2,27,0.0,9,2,1.0
0,6,34,47.3,1.5,40,1.0,0,7,0.0
4,5,61,60.6,1.1,68,1.0,2,4,0.0
1,6,31,39.6,1.2,46,1.0,0,9,0.0
4,6,40,44.6,0.4,57,1.0,2,8,0.0
0,6,21,39.9,2.9,42,1.0,0,9,0.0
4,6,29,39.5,0.8,49,1.0,3,8,0.0
4,2,47,49.7,1.6,54,1.0,2,3,0.0
4,6,11,25.1,0.2,26,1.0,2,10,0.0
3,0,50,65.2,2.2,51,1.0,1,0,0.0
2,6,8,23.1,0.0,32,1.0,2,9,0.0
6,2,52,35.4,0.0,30,0.0,8,1,1.0
2,6,14,23.8,4.1,24,1.0,1,11,0.0
0,6,27,29.8,1.5,36,1.0,0,10,0.0
4,6,23,27.2,0.2,43,1.0,2,10,0.0
2,6,24,31.9,1.7,59,1.0,2,9,0.0
3,5,54,54.0,0.2,42,1.0,0,5,0.0
2,6,30,34.0,0.0,47,1.0,1,8,0.0
4,6,18,23.0,1.7,42,1.0,3,11,0.0
